DATE,SP500,DJIA,NASDAQ100
2016-02-03,1912.53,16336.66,4171.97
2016-02-04,1915.45,16416.58,4167.77
2016-02-05,1880.05,16204.97,4024.47
2016-02-08,1853.44,16027.05,3960.67
2016-02-09,1852.21,16014.38,3947.8
2016-02-10,1851.86,15914.74,3966.28
2016-02-11,1829.08,15660.18,3962.22
2016-02-12,1864.78,15973.84,4019.19
2016-02-15,,,
2016-02-16,1895.58,16196.41,4104.33
2016-02-17,1926.82,16453.83,4199.1
2016-02-18,1917.83,16413.43,4151.49
2016-02-19,1917.78,16391.99,4164.09
2016-02-22,1945.5,16620.66,4231.27
2016-02-23,1921.27,16431.78,4162.54
2016-02-24,1929.8,16484.99,4200.66
2016-02-25,1951.7,16697.29,4241.06
2016-02-26,1948.05,16639.97,4235.62
2016-02-29,1932.23,16516.5,4201.12
2016-03-01,1978.35,16865.08,4333.61
2016-03-02,1986.45,16899.32,4334.39
2016-03-03,1993.4,16943.9,4325.86
2016-03-04,1999.99,17006.77,4329.0
2016-03-07,2001.76,17073.95,4303.33
2016-03-08,1979.26,16964.1,4265.51
2016-03-09,1989.26,17000.36,4293.23
2016-03-10,1989.57,16995.13,4286.97
2016-03-11,2022.19,17213.31,4361.83
2016-03-14,2019.64,17229.13,4367.33
2016-03-15,2015.93,17251.53,4367.08
2016-03-16,2027.22,17325.76,4404.2
2016-03-17,2040.59,17481.49,4400.26
2016-03-18,2049.58,17602.3,4410.83
2016-03-21,2051.6,17623.87,4426.98
2016-03-22,2049.8,17582.57,4437.62
2016-03-23,2036.71,17502.59,4402.56
2016-03-24,2035.94,17515.73,4405.53
2016-03-25,,,
2016-03-28,2037.05,17535.39,4398.07
2016-03-29,2055.01,17633.11,4467.72
2016-03-30,2063.95,17716.66,4490.88
2016-03-31,2059.74,17685.09,4483.66
2016-04-01,2072.78,17792.75,4532.08
2016-04-04,2066.13,17737.0,4511.7
2016-04-05,2045.17,17603.32,4470.75
2016-04-06,2066.66,17716.05,4543.78
2016-04-07,2041.91,17541.96,4475.29
